"id","Survey","Race","Gender","Education","Age_Group","Region","quota_cohort","LikelyVote","PartyAffiliate","survey_weight","Question1_Version","Experiment1_Question","Question2_Version","Experiment2_Question","EconomicConditions","EconomicExpect","CoronaWorry","CoronaChange","CoronaWork"
1753,"Coronavirus Survey","White","Male","Some College or Associate","45-64","West","West::45-64::Male","Definitely will vote","Republican Party",0.862382516348869,"Version A","100","Version A","A","Good","Improve","Somewhat worried","Yes, changing routines or plans","Not changed"
1754,"Coronavirus Survey","White","Male","Some College or Associate","45-64","South","South::45-64::Male","Definitely will vote","Democratic Party",0.933738513078202,"Version B","10000","Version B","C","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Not changed"
1755,"Political Survey","Hispanic","Female","College Grad","45-64","South","South::45-64::Female","Definitely will vote","Republican Party",1.13965168247533,"Version A","100","Version A","A","Excellent","Improve",NA,NA,NA
1756,"Political Survey","White","Female","HS or Less","45-64","West","West::45-64::Female","Definitely will vote","Republican Party",1.02854507353346,"Version B","1000","Version A","B","Poor","Get worse",NA,NA,NA
1757,"Coronavirus Survey","White","Male","College Grad","35-44","Northeast","Northeast::35-44::Male","Definitely will vote","Independent or another party",0.529537853757497,"Version A","100","Version A","B","Good","Improve","Very worried","Yes, changing routines or plans","Not changed"
1758,"Coronavirus Survey","White","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Republican Party",0.823626259055456,"Version A","100","Version A","A","Only Fair","Improve","Somewhat worried","Yes, changing routines or plans","Laid off"
1759,"Coronavirus Survey","Other","Female","College Grad","18-34","West","West::18-34::Female","Definitely will vote","Democratic Party",0.783374366228407,"Version B","10000000000","Version A","C","Good","Stay about the same","Somewhat worried","Yes, changing routines or plans","Working from home"
1760,"Coronavirus Survey","White","Female","HS or Less","45-64","West","West::45-64::Female","Likely will vote","Independent or another party",1.02854507353346,"Version A","20","Version B","C","Only Fair","Get worse","Not worried at all","Yes, changing routines or plans","Not changed"
1761,"Coronavirus Survey","White","Male","Post-Grad","65+","South","South::65+::Male","Definitely will vote","Independent or another party",0.969434340867509,"Version A","100","Version A","A","Only Fair","Stay about the same","Not too worried","Yes, changing routines or plans","Not changed"
1762,"Political Survey","Black or African American","Male","Some College or Associate","45-64","Northeast","Northeast::45-64::Male","Definitely will vote","Democratic Party",0.801308900702082,"Version A","100","Version A","A","Poor","Get worse",NA,NA,NA
1763,"Political Survey","White","Male","Some College or Associate","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Republican Party",0.968063991660096,"Version B","280","Version B","B","Excellent","Improve",NA,NA,NA
1764,"Political Survey","White","Female","HS or Less","18-34","South","South::18-34::Female","Definitely will not vote","Independent or another party",1.07719885416449,"Version B","1000","Version B","C","Poor","Get worse",NA,NA,NA
1765,"Political Survey","White","Male","Post-Grad","65+","Northeast","Northeast::65+::Male","Definitely will vote","Independent or another party",0.622421379549921,"Version B","10000","Version A","C","Good","Get worse",NA,NA,NA
1766,"Coronavirus Survey","White","Male","College Grad","18-34","Midwest","Midwest::18-34::Male","Definitely will vote","Democratic Party",0.838333210595406,"Version A","100","Version A","A","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
1767,"Political Survey","Black or African American","Male","HS or Less","35-44","South","South::35-44::Male","Definitely will vote","Democratic Party",1.16358872312927,"Version A","20","Version B","B","Good","Get worse",NA,NA,NA
1768,"Political Survey","White","Male","Some College or Associate","18-34","Midwest","Midwest::18-34::Male","Definitely will vote","Republican Party",1.08595261557615,"Version B","100","Version B","B","Good","Get worse",NA,NA,NA
1769,"Coronavirus Survey","Hispanic","Female","Some College or Associate","18-34","Midwest","Midwest::18-34::Female","Likely will vote","Republican Party",1.28407932398782,"Version A","100","Version B","C","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Hours cut back"
1770,"Political Survey","White","Female","Some College or Associate","35-44","Midwest","Midwest::35-44::Female","Definitely will vote","Independent or another party",0.766679362353337,"Version B","10000","Version A","C","Only Fair","Get worse",NA,NA,NA
1771,"Coronavirus Survey","White","Female","HS or Less","18-34","South","South::18-34::Female","Definitely will vote","Republican Party",1.07719885416449,"Version B","1000","Version B","C","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Not changed"
1772,"Political Survey","White","Female","HS or Less","65+","West","West::65+::Female","Definitely will vote","Independent or another party",1.07007412414965,"Version B","1000000000000","Version B","C","Good","Stay about the same",NA,NA,NA
1773,"Political Survey","Hispanic","Female","Some College or Associate","65+","West","West::65+::Female","Definitely will vote","Democratic Party",1.56189267842841,"Version A","100","Version B","C","Only Fair","Get worse",NA,NA,NA
1774,"Political Survey","Other","Female","College Grad","18-34","South","South::18-34::Female","Likely will vote","Independent or another party",0.818165714295513,"Version A","5000","Version B","C","Good","Don't know",NA,NA,NA
1775,"Coronavirus Survey","White","Female","HS or Less","45-64","West","West::45-64::Female","Definitely will not vote","Republican Party",1.02854507353346,"Version A","100","Version B","B","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
1776,"Political Survey","White","Female","Some College or Associate","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",0.734138950719982,"Version A","100","Version A","A","(Vol. DK/Refuse)","Get worse",NA,NA,NA
1777,"Political Survey","White","Female","Some College or Associate","65+","South","South::65+::Female","Definitely will vote","Democratic Party",0.861094997881394,"Version A","10","Version A","B","Poor","Get worse",NA,NA,NA
1778,"Coronavirus Survey","White","Male","Some College or Associate","65+","South","South::65+::Male","Definitely will vote","Democratic Party",1.033272666407,"Version A","100","Version A","A","Poor","Get worse","Very worried","Yes, changing routines or plans","Not changed"
1779,"Political Survey","White","Female","College Grad","35-44","South","South::35-44::Female","Definitely will vote","Democratic Party",0.634375215678985,"Version B","1000000000","Version B","B","Only Fair","Get worse",NA,NA,NA
1780,"Political Survey","White","Female","HS or Less","35-44","Midwest","Midwest::35-44::Female","Definitely will vote","Republican Party",0.95416727079337,NA,NA,"Version A","C","Excellent","Get worse",NA,NA,NA
1781,"Coronavirus Survey","White","Male","HS or Less","35-44","Northeast","Northeast::35-44::Male","Likely will vote","Independent or another party",0.853693467299892,"Version B","200","Version B","B","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Other change"
1782,"Political Survey","White","Female","College Grad","18-34","Northeast","Northeast::18-34::Female","Likely will not vote","Democratic Party",0.561196061788812,"Version B","100","Version B","A","Only Fair","Stay about the same",NA,NA,NA
1783,"Coronavirus Survey","White","Male","HS or Less","35-44","Northeast","Northeast::35-44::Male","Definitely will vote","Independent or another party",0.853693467299892,"Version B","50","Version B","B","Only Fair","Stay about the same","Very worried","Yes, changing routines or plans","Not changed"
1784,"Political Survey","White","Male","Some College or Associate","18-34","South","South::18-34::Male","Definitely will vote","Republican Party",1.85561253706371,"Version A","6","Version B","B","Excellent","Get worse",NA,NA,NA
1785,"Coronavirus Survey","White","Female","Some College or Associate","65+","Midwest","Midwest::65+::Female","Definitely will vote","Independent or another party",0.894046859124752,"Version A","100","Version A","C","Only Fair","Improve","Somewhat worried","Yes, changing routines or plans","Laid off"
1786,"Coronavirus Survey","White","Male","Some College or Associate","35-44","Midwest","Midwest::35-44::Male","Definitely will vote","Republican Party",0.845842841365614,"Version A","100","Version A","B","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Hours cut back"
1787,"Political Survey","Other","Male","College Grad","35-44","West","West::35-44::Male","Likely will vote","Independent or another party",0.950993004881274,"Version B","100","Version B","C","Only Fair","Stay about the same",NA,NA,NA
1788,"Political Survey","Hispanic","Female","Some College or Associate","18-34","South","South::18-34::Female","Definitely will vote","Republican Party",1.57229201749736,"Version A","100","Version B","C","Excellent","Get worse",NA,NA,NA
1789,"Political Survey","White","Female","Post-Grad","18-34","West","West::18-34::Female","Definitely will not vote","(Vol. DK/Refuse)",0.777529148825768,"Version B","100","Version A","B","Good","Get worse",NA,NA,NA
1790,"Coronavirus Survey","Hispanic","Male","HS or Less","18-34","South","South::18-34::Male","Definitely will vote","Independent or another party",4.19513663274818,"Version A","100","Version A","A","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
1791,"Coronavirus Survey","Black or African American","Female","Some College or Associate","45-64","South","South::45-64::Female","Definitely will vote","Democratic Party",0.828529727561241,"Version B","100000","Version A","B","Poor","Don't know","Very worried","Yes, changing routines or plans","Not changed"
1792,"Political Survey","Hispanic","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will not vote","Independent or another party",2.11097983193228,"Version A","100","Version B","B","Poor","Get worse",NA,NA,NA
1793,"Political Survey","White","Female","Some College or Associate","45-64","South","South::45-64::Female","Likely will vote","Republican Party",0.812677566010643,"Version A","100","Version B","B","Good","Stay about the same",NA,NA,NA
1794,"Coronavirus Survey","White","Female","HS or Less","18-34","West","West::18-34::Female","Likely will not vote","Independent or another party",1.03139248557937,"Version A","100","Version A","A","Poor","Improve","Not worried at all","Yes, changing routines or plans","Other change"
1795,"Coronavirus Survey","White","Female","HS or Less","18-34","South","South::18-34::Female","Likely will not vote","Republican Party",1.07719885416449,"Version B","10000","Version A","C","Good","Get worse","Very worried","No, not changing routines or plans","Hours cut back"
1796,"Coronavirus Survey","Hispanic","Male","College Grad","35-44","South","South::35-44::Male","Likely will vote","Republican Party",1.28603503932427,"Version A","5","Version A","A","Excellent","Get worse","Very worried","Yes, changing routines or plans","Hours increased"
1797,"Political Survey","White","Male","HS or Less","18-34","Northeast","Northeast::18-34::Male","Likely will vote","Independent or another party",1.57827009974342,"Version B","1","Version B","C","Poor","Get worse",NA,NA,NA
1798,"Political Survey","White","Male","Some College or Associate","45-64","West","West::45-64::Male","Definitely will vote","Independent or another party",0.862382516348869,"Version A","100","Version A","A","Good","Get worse",NA,NA,NA
1799,"Political Survey","White","Male","College Grad","18-34","South","South::18-34::Male","Definitely will vote","Independent or another party",1.43249492980168,"Version B","1000000000","Version A","C","Good","Improve",NA,NA,NA
1800,"Political Survey","White","Male","Post-Grad","35-44","Midwest","Midwest::35-44::Male","Definitely will vote","Democratic Party",0.793584427475592,"Version B","1000","Version A","C","Poor","Get worse",NA,NA,NA
1801,"Political Survey","White","Female","Some College or Associate","18-34","Midwest","Midwest::18-34::Female","Definitely will vote","Republican Party",0.706876890438778,"Version B","20","Version A","C","Good","Stay about the same",NA,NA,NA
1802,"Coronavirus Survey","White","Female","HS or Less","65+","South","South::65+::Female","Definitely will vote","Republican Party",1.07167181532095,"Version B","100","Version B","C","Only Fair","Stay about the same","Somewhat worried","Yes, changing routines or plans","Not changed"
1803,"Coronavirus Survey","Hispanic","Male","HS or Less","18-34","Northeast","Northeast::18-34::Male","Definitely will vote","Democratic Party",2.86701125777466,"Version A","100","Version A","A","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
1804,"Coronavirus Survey","White","Female","HS or Less","18-34","South","South::18-34::Female","Likely will not vote","Independent or another party",1.07719885416449,"Version B","100","Version A","A","Good","Improve","Very worried","Yes, changing routines or plans","Not changed"
1805,"Coronavirus Survey","Black or African American","Male","College Grad","18-34","West","West::18-34::Male","Definitely will vote","Democratic Party",1.6428149840544,"Version A","100","Version A","A","Only Fair","Improve","Not worried at all","Yes, changing routines or plans","Working from home"
1806,"Political Survey","White","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",0.913669251303991,"Version B","100","Version A","B","Only Fair","Get worse",NA,NA,NA
1807,"Political Survey","White","Male","Some College or Associate","18-34","West","West::18-34::Male","Definitely will vote","Independent or another party",2.08733923128508,"Version B","10000","Version A","C","Only Fair","Get worse",NA,NA,NA
1808,"Coronavirus Survey","White","Female","Some College or Associate","18-34","Northeast","Northeast::18-34::Female","Definitely will not vote","Independent or another party",0.726957161482078,"Version A","100","Version B","A","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Hours cut back"
1809,"Political Survey","White","Female","HS or Less","35-44","South","South::35-44::Female","Definitely will vote","Independent or another party",1.02270682558252,"Version B","1000","Version A","C","Poor","Stay about the same",NA,NA,NA
1810,"Coronavirus Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Definitely will vote","Independent or another party",1.01141412338944,"Version B","1000","Version B","C","Only Fair","Get worse","Not too worried","No, not changing routines or plans","Not changed"
1811,"Political Survey","White","Female","Some College or Associate","45-64","South","South::45-64::Female","Likely will not vote","Republican Party",0.812677566010643,"Version A","100","Version B","B","Only Fair","Stay about the same",NA,NA,NA
1812,"Coronavirus Survey","White","Male","College Grad","18-34","South","South::18-34::Male","Definitely will vote","Republican Party",1.43249492980168,"Version A","4","Version B","A","Excellent","Get worse","Very worried","Yes, changing routines or plans","Working from home"
1813,"Coronavirus Survey","Hispanic","Male","College Grad","18-34","Northeast","Northeast::18-34::Male","Definitely will not vote","Independent or another party",1.77837953117106,"Version A","100","Version B","C","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Working from home"
1814,"Political Survey","White","Female","HS or Less","18-34","Northeast","Northeast::18-34::Female","Definitely will vote","Democratic Party",0.904731188571337,"Version B","200","Version B","A","Poor","Get worse",NA,NA,NA
1815,"Coronavirus Survey","White","Female","Post-Grad","18-34","South","South::18-34::Female","Likely will vote","Republican Party",0.812060898159561,"Version B","2","Version B","B","Excellent","Improve","Very worried","Yes, changing routines or plans","Not changed"
1816,"Political Survey","White","Female","HS or Less","65+","South","South::65+::Female","Definitely will vote","Democratic Party",1.07167181532095,"Version A","100","Version A","A","Poor","Get worse",NA,NA,NA
1817,"Political Survey","White","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",0.913669251303991,"Version B","4480","Version B","B","Only Fair","Get worse",NA,NA,NA
1818,"Political Survey","White","Male","Some College or Associate","18-34","South","South::18-34::Male","Definitely will not vote","Independent or another party",1.85561253706371,"Version B","100","Version B","A","Good","Stay about the same",NA,NA,NA
1819,"Political Survey","White","Female","HS or Less","65+","South","South::65+::Female","Definitely will vote","Republican Party",1.07167181532095,"Version A","100","Version A","B","Good","Improve",NA,NA,NA
1820,"Political Survey","White","Female","Some College or Associate","65+","West","West::65+::Female","Definitely will vote","Democratic Party",0.859811243045167,"Version B","1000000","Version A","A","Only Fair","Improve",NA,NA,NA
1821,"Political Survey","White","Female","Some College or Associate","18-34","Midwest","Midwest::18-34::Female","Definitely will vote","Republican Party",0.706876890438778,"Version B","20","Version A","B","Poor","Get worse",NA,NA,NA
1822,"Political Survey","White","Female","HS or Less","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Democratic Party",0.823626259055456,"Version B","1000","Version B","B","Only Fair","Don't know",NA,NA,NA
1823,"Coronavirus Survey","Black or African American","Female","Some College or Associate","35-44","Midwest","Midwest::35-44::Female","Definitely will vote","Democratic Party",0.78163427881448,"Version B","100","Version B","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Laid off"
1824,"Coronavirus Survey","White","Female","Some College or Associate","45-64","South","South::45-64::Female","Definitely will vote","Democratic Party",0.812677566010643,"Version A","100","Version A","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Other change"
1825,"Political Survey","White","Male","Some College or Associate","45-64","West","West::45-64::Male","Likely will vote","Democratic Party",0.862382516348869,"Version A","100","Version A","A","Only Fair","Get worse",NA,NA,NA
1826,"Coronavirus Survey","Black or African American","Male","Some College or Associate","35-44","Midwest","Midwest::35-44::Male","Definitely will vote","Democratic Party",0.862341927754285,"Version A","4","Version A","A","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Hours cut back"
1827,"Coronavirus Survey","White","Female","HS or Less","18-34","South","South::18-34::Female","Likely will not vote","Independent or another party",1.07719885416449,"Version A","3000","Version B","C","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Other change"
1828,"Political Survey","White","Female","HS or Less","18-34","West","West::18-34::Female","Definitely will vote","Democratic Party",1.03139248557937,"Version B","10000000000","Version B","C","Only Fair","Get worse",NA,NA,NA
1829,"Coronavirus Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Likely will vote","Republican Party",1.01141412338944,"Version B","1000","Version A","A","Only Fair","Stay about the same","Somewhat worried","Yes, changing routines or plans","Not changed"
1830,"Coronavirus Survey","White","Male","Post-Grad","45-64","South","South::45-64::Male","Definitely will vote","Independent or another party",0.876049671493028,"Version A","100","Version B","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Not changed"
1831,"Political Survey","White","Female","College Grad","18-34","West","West::18-34::Female","Likely will vote","Independent or another party",0.639762847105695,"Version B","100","Version A","B","Good","Improve",NA,NA,NA
1832,"Political Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Likely will vote","Democratic Party",1.01141412338944,"Version A","100","Version A","B","Good","Stay about the same",NA,NA,NA
1833,"Political Survey","Black or African American","Female","HS or Less","65+","South","South::65+::Female","Likely will vote","Democratic Party",1.09257594194658,"Version A","100","Version B","C","Only Fair","Don't know",NA,NA,NA
1834,"Coronavirus Survey","White","Female","HS or Less","65+","Midwest","Midwest::65+::Female","Definitely will vote","Republican Party",1.11268190252824,"Version B","100","Version B","B","Only Fair","Stay about the same","Somewhat worried","Yes, changing routines or plans","Not changed"
1835,"Political Survey","White","Female","Some College or Associate","65+","Midwest","Midwest::65+::Female","Definitely will vote","Republican Party",0.894046859124752,"Version B","1000","Version B","B","Only Fair","Improve",NA,NA,NA
1836,"Coronavirus Survey","Black or African American","Male","Some College or Associate","45-64","Northeast","Northeast::45-64::Male","Definitely will vote","Democratic Party",0.801308900702082,"Version B","1000","Version B","C","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Not changed"
1837,"Coronavirus Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Definitely will vote","Republican Party",1.01141412338944,"Version B","1000","Version B","A","Good","Get worse","Not too worried","Yes, changing routines or plans","Not changed"
1838,"Coronavirus Survey","White","Female","Some College or Associate","18-34","Midwest","Midwest::18-34::Female","Definitely will vote","Independent or another party",0.706876890438778,"Version B","100000","Version A","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Laid off"
1839,"Political Survey","White","Female","HS or Less","18-34","South","South::18-34::Female","Definitely will not vote","Independent or another party",1.07719885416449,"Version A","100","Version B","C","Only Fair","Don't know",NA,NA,NA
1840,"Coronavirus Survey","White","Female","HS or Less","18-34","South","South::18-34::Female","Definitely will not vote","Independent or another party",1.07719885416449,"Version B","140","Version A","C","Only Fair","Don't know","Somewhat worried","Yes, changing routines or plans","Not changed"
1841,"Coronavirus Survey","White","Female","Some College or Associate","35-44","Northeast","Northeast::35-44::Female","Likely will vote","Democratic Party",0.717247834140177,"Version B","100","Version B","C","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Laid off"
1842,"Political Survey","White","Female","College Grad","65+","Northeast","Northeast::65+::Female","Definitely will vote","Independent or another party",0.566740256206943,"Version A","500","Version B","C","Only Fair","Improve",NA,NA,NA
1843,"Coronavirus Survey",NA,"Female","College Grad","35-44","South","South::35-44::Female","Definitely will vote","Independent or another party",0.696096709370034,"Version B","1000000000000000013287555072","Version B","B","Only Fair","Get worse","Somewhat worried","Yes, changing routines or plans","Other change"
1844,"Coronavirus Survey","White","Female","HS or Less","45-64","South","South::45-64::Female","Definitely will vote","Independent or another party",1.01141412338944,"Version B","1000","Version A","B","Only Fair","Don't know","Very worried","No, not changing routines or plans","Not changed"
1845,"Coronavirus Survey","Black or African American","Female","Some College or Associate","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Republican Party",0.674697756583281,"Version A","6","Version B","B","Good","Improve","Somewhat worried","Yes, changing routines or plans","Laid off"
1846,"Coronavirus Survey","White","Female","Some College or Associate","35-44","Northeast","Northeast::35-44::Female","Definitely will not vote","Independent or another party",0.717247834140177,"Version B","10000","Version A","B","Poor","Get worse","Not too worried","No, not changing routines or plans","Not changed"
1847,"Political Survey","Other","Male","College Grad","18-34","South","South::18-34::Male","Definitely will vote","Republican Party",1.75405591749439,"Version A","100","Version B","B","Excellent","Improve",NA,NA,NA
1848,"Coronavirus Survey",NA,"Female","Some College or Associate","18-34","Northeast","Northeast::18-34::Female","Definitely will vote","Independent or another party",0.797686409326439,"Version B","10000","Version A","C","Poor","Get worse","Very worried","Yes, changing routines or plans","Other change"
1849,"Coronavirus Survey","White","Female","HS or Less","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",0.913669251303991,"Version A","100","Version B","B","Poor","Don't know","Very worried","Yes, changing routines or plans","Other change"
1850,"Political Survey","White","Female","Post-Grad","65+","South","South::65+::Female","Definitely will vote","Democratic Party",0.807894265313555,"Version B","1000","Version A","C","Only Fair","Don't know",NA,NA,NA
1851,"Coronavirus Survey","White","Female","College Grad","18-34","Midwest","Midwest::18-34::Female","Likely will vote","Republican Party",0.545694503201539,"Version B","1000000","Version B","C","Good","Get worse","Somewhat worried","Yes, changing routines or plans","Laid off"
1852,"Coronavirus Survey","White","Female","College Grad","35-44","South","South::35-44::Female","Definitely will vote","Republican Party",0.634375215678985,"Version A","100","Version A","A","Good","Get worse","Very worried","Yes, changing routines or plans","Not changed"
1853,"Political Survey","White","Female","Some College or Associate","18-34","Northeast","Northeast::18-34::Female","Likely will vote","Democratic Party",0.726957161482078,"Version A","5000",NA,NA,"Only Fair","Stay about the same",NA,NA,NA
1854,"Coronavirus Survey","White","Female","Some College or Associate","65+","West","West::65+::Female","Definitely will vote","Democratic Party",0.859811243045167,"Version B","10000","Version A","A","Poor","Get worse","Very worried","Yes, changing routines or plans","Not changed"
1855,"Coronavirus Survey","White","Female","Post-Grad","35-44","South","South::35-44::Female","Definitely will vote","Democratic Party",0.770981346782639,"Version A","1000000","Version A","C","Only Fair","Don't know","Somewhat worried","(Vol. DK/Refuse)","Other change"
1856,"Political Survey","White","Male","Some College or Associate","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Republican Party",0.968063991660096,"Version A","100","Version B","C","Excellent","Improve",NA,NA,NA
1857,"Coronavirus Survey","Hispanic","Female","College Grad","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",1.02951370303699,"Version B","1000","Version A","C","Poor","Get worse","Somewhat worried","Yes, changing routines or plans","Not changed"
1858,"Political Survey","White","Male","HS or Less","18-34","Midwest","Midwest::18-34::Male","Likely will vote","Democratic Party",1.35151732822785,"Version A","100","Version B","A","Poor","Stay about the same",NA,NA,NA
1859,"Coronavirus Survey","White","Female","College Grad","35-44","Northeast","Northeast::35-44::Female","Definitely will vote","Democratic Party",0.553700659644641,"Version B","1000000","Version A","C","Only Fair","Get worse","Not too worried","Yes, changing routines or plans","Working from home"
1860,"Coronavirus Survey","White","Female","Some College or Associate","35-44","South","South::35-44::Female","Definitely will vote","Republican Party",0.821751322763416,"Version B","1000","Version B","B","Good","Get worse","Not worried at all","No, not changing routines or plans","Not changed"
1861,"Political Survey","White","Male","HS or Less","18-34","Midwest","Midwest::18-34::Male","Definitely will vote","Democratic Party",1.35151732822785,"Version B","100","Version B","B","Excellent","Stay about the same",NA,NA,NA
1862,"Coronavirus Survey","White","Male","HS or Less","45-64","South","South::45-64::Male","Definitely will vote","Republican Party",1.16207996772435,"Version B","200","Version A","A","Poor","Get worse","Very worried","Yes, changing routines or plans","Not changed"
1863,"Political Survey","Black or African American","Female","Some College or Associate","65+","Northeast","Northeast::65+::Female","Definitely will vote","Democratic Party",0.748459130990895,"Version B","200","Version A","B","Good","Get worse",NA,NA,NA
1864,"Coronavirus Survey","White","Male","Post-Grad","18-34","Midwest","Midwest::18-34::Male","Likely will vote","Democratic Party",1.0188595830713,"Version B","1000","Version B","B","Good","Stay about the same","Not too worried","Yes, changing routines or plans","Working from home"
1865,"Political Survey","White","Female","HS or Less","65+","South","South::65+::Female","Likely will vote","Independent or another party",1.07167181532095,"Version A","100","Version A","A","Poor","Get worse",NA,NA,NA
1866,"Coronavirus Survey","Black or African American","Female","HS or Less","18-34","West","West::18-34::Female","Likely will not vote","Democratic Party",1.05151091998348,"Version B","11000","Version A","B","Poor","Improve","Very worried","Yes, changing routines or plans","Not changed"
1867,"Political Survey","White","Female","Some College or Associate","45-64","South","South::45-64::Female","Likely will not vote","Independent or another party",0.812677566010643,"Version B","1000","Version B","C","Poor","Get worse",NA,NA,NA
1868,"Political Survey","White","Male","HS or Less","45-64","South","South::45-64::Male","Likely will not vote","Independent or another party",1.16207996772435,"Version B","100","Version B","A","Only Fair","Stay about the same",NA,NA,NA
1869,"Political Survey","White","Female","HS or Less","65+","South","South::65+::Female","Definitely will vote","Democratic Party",1.07167181532095,"Version A","100000","Version B","C","Poor","Get worse",NA,NA,NA
1870,"Political Survey","White","Female","HS or Less","65+","South","South::65+::Female","Definitely will not vote","Independent or another party",1.07167181532095,"Version A","100","Version A","A","Poor","Get worse",NA,NA,NA
1871,"Coronavirus Survey","Black or African American","Male","HS or Less","18-34","Midwest","Midwest::18-34::Male","Definitely will vote","Democratic Party",1.37788014654788,"Version B","100",NA,NA,"Only Fair","Get worse","Very worried","Yes, changing routines or plans","Laid off"
1872,"Political Survey","White","Female","College Grad","18-34","South","South::18-34::Female","Definitely will vote","Democratic Party",0.668176097339066,NA,NA,"Version A","C","Good","Get worse",NA,NA,NA
1873,"Coronavirus Survey","Hispanic","Female","Some College or Associate","35-44","South","South::35-44::Female","Definitely will vote","Republican Party",1.49275481670529,"Version B","100000","Version A","C","Only Fair","Get worse","Very worried","Yes, changing routines or plans","Switched jobs"
1874,"Political Survey","White","Female","HS or Less","18-34","Northeast","Northeast::18-34::Female","Definitely will not vote","Independent or another party",0.904731188571337,"Version A","100","Version A","C","Poor","Get worse",NA,NA,NA
1875,"Coronavirus Survey","Other","Female","Some College or Associate","35-44","South","South::35-44::Female","Likely will not vote","Democratic Party",1.00621491944935,"Version B","100","Version A","C","Only Fair","Stay about the same","Somewhat worried","Yes, changing routines or plans","Laid off"
1876,"Political Survey","White","Female","Some College or Associate","45-64","Northeast","Northeast::45-64::Female","Definitely will vote","Independent or another party",0.661788843988599,"Version B","100","Version B","C","Good","Get worse",NA,NA,NA
1877,"Coronavirus Survey","White","Male","College Grad","35-44","Midwest","Midwest::35-44::Male","Definitely will vote","Republican Party",0.652973375348396,"Version A","1","Version A","C","Good","Improve","Not too worried","No, not changing routines or plans","Not changed"
1878,"Political Survey","White","Female","College Grad","35-44","South","South::35-44::Female","Definitely will vote","Republican Party",0.634375215678985,"Version A","100","Version B","B","Excellent","Improve",NA,NA,NA
1879,"Political Survey","Black or African American","Male","Some College or Associate","65+","Midwest","Midwest::65+::Male","Definitely will vote","Independent or another party",0.937799601510908,"Version B","1000000","Version B","C","Only Fair","Stay about the same",NA,NA,NA
1880,"Coronavirus Survey","Black or African American","Female","Some College or Associate","35-44","South","South::35-44::Female","Likely will vote","Independent or another party",0.837780477827716,"Version B","20","Version B","B","Good","Stay about the same","Very worried","(Vol. DK/Refuse)","Other change"
1881,"Political Survey","White","Male","College Grad","45-64","Midwest","Midwest::45-64::Male","Definitely will vote","Republican Party",0.747325603852101,"Version A","100","Version B","B","Only Fair","Improve",NA,NA,NA
1882,"Political Survey","White","Male","HS or Less","65+","West","West::65+::Male","Definitely will vote","Republican Party",1.52555272871365,"Version B","100","Version A","A","Only Fair","Get worse",NA,NA,NA
1883,"Political Survey","White","Male","College Grad","18-34","Midwest","Midwest::18-34::Male","Likely will vote","Independent or another party",0.838333210595406,"Version A","100","Version A","A","Poor","Stay about the same",NA,NA,NA
1884,"Political Survey","White","Male","College Grad","45-64","Midwest","Midwest::45-64::Male","Likely will vote","Democratic Party",0.747325603852101,"Version B","100","Version A","B","Good","Get worse",NA,NA,NA
1885,"Political Survey","White","Female","College Grad","35-44","Northeast","Northeast::35-44::Female","Definitely will vote","Independent or another party",0.553700659644641,"Version B","10000000000","Version A","A","Poor","Get worse",NA,NA,NA
